root	I	II	III	V	VI	VII	VIII	IX	X
f-r-j²			fiera		tfera				
f-s-w/j	fesa					nfesa			
f-t-j		fotta		tfotta					
f-w-ġ		fewweġ		tfewweġ					
f-w-ħ	fieħ	fewwaħ		tfewwaħ				fwieħ,	
f-w-ħ								fjieħ	
f-w-q		fewwaq		tfewwaq					
f-w-r	far	fawwar		tfawwar					
f-w-t	fiet	*fejjet							
g-b-ġ/g-b-x		gebbeġ,							
g-b-ġ/g-b-x		gebbex							
g-d-b	gideb	giddeb		tgiddeb	tgiedeb	ngideb			
g-d-l		geddel		tgeddel					
g-d-m¹	gidem	giddem		tgiddem	tgiedem	ngidem			
g-d-m²				tgeddem					
g-d-s/g-z-z		geddes,		tgeddes,					
g-d-s/g-z-z		gezzez		tgezzez					
g-n-ċ		gannaċ							
g-r-f	giref	gerref			tgieref	ngiref			
g-r-m		gerrem		tgerrem					
g-r-r	garr					ngarr			
g-r-s		gerres		tgerres					
g-r-x¹		gerrex		tgerrex					
g-r-x²	girex					ngirex			
g-r-ż	gireż	gerreż							
g-s-s	gess								
g-ż-ż	geżż	geżżeż				ngeżż,			
g-ż-ż		geżgeż				ngess			
g-z-z	gezz								
g-d-j			goda						
g-r-j			gara,		tgara				
g-r-j			garr						
g-ż-j	gaża								
ġ-b-d	ġibed	ġebbed		ġġebbed		nġibed			
ġ-b-l		ġebbel		ġġebbel					
ġ-b-r	ġabar	ġabbar		ġġabbar		nġabar			
ġ-b-s		ġebbes		ġġebbes					
ġ-d-d		ġedded		ġġedded					
ġ-d-m		ġiddem		ġġiddem					
ġ-d-r				ġġaddar,					
ġ-d-r				ġġidder					
ġ-għ-d	ġagħad		ġiegħed		ġġiegħed	nġagħad			
ġ-għ-l	ġagħal		ġiegħel		ġġiegħel	nġagħal			
ġ-h-r			ġahar						
ġ-h-ż			ġieheż		ġġieheż				
ġ-l-b	ġileb,								
ġ-l-b	ġlejjeb								
ġ-l-d¹		ġelled	ġieled		ġġieled				
ġ-l-d²		ġelled		ġġelled					
ġ-m-d	ġimed	ġemmed		ġġemmed					
ġ-m-għ	ġama',	ġamma',		ġġamma',		nġama',			
ġ-m-għ	ġema'	ġemma'		ġġemma'		nġema'			
ġ-m-l		ġemmel		ġġemmel					
ġ-m-r		ġammar		ġġammar					
ġ-n-b		ġenneb	ġieneb	ġġenneb	ġġieneb				
ġ-n-n		ġennen		ġġennen					
ġ-n-t		ġannat		ġġannat					
ġ-r-b	*ġarab	ġarrab		ġġarrab					
ġ-r-d	ġarad	*ġarrad				nġarad			
ġ-r-f	*ġaraf	ġarraf		ġġarraf					
ġ-r-għ	*ġeragħ	ġerragħ		ġġerragħ					
ġ-r-ħ	ġeraħ	ġerraħ		ġġerraħ		nġeraħ			
ġ-r-r	ġarr	*ġarrar				nġarr	iġtar,		
ġ-r-r							xtarr		
ġ-s-m		ġissem		ġġissem					
ġ-s-s	*ġess	ġesses							
ġ-ż-ż	ġeżż	ġeżżeż				nġeżż			
ġ-j-'/ġ-j-j	ġie								
ġ-j-b	ġab,					nġab,			
ġ-j-b	ġieb					nġieb			
ġ-j-f/ġ-w-f		ġejjef,		ġġejjef,					
ġ-j-f/ġ-w-f		ġewwef		ġġewwef					
ġ-l-w	ġela,					nġela,			
ġ-l-w	ġila					nġila			
ġ-r-j¹	ġara								
ġ-r-j²	ġera	ġerra		ġġerra	ġġiera	nġera			
ġ-v-j			ġova						
ġ-w-ħ	ġaħ,	ġewwaħ		ġġewwaħ					
ġ-w-ħ	ġieħ								
ġ-w-ż		ġewweż		ġġewweż					
ġ-ż-j	ġeża					nġeża			
h-d-b		heddeb		theddeb					
h-d-d		hedded		thedded					
h-d-m		heddem		theddem					
h-l-l		hellel		thellel					
h-m-m		hemmem		themmem					
h-m-r						nhamar			
h-m-ż	hemeż	hemmeż		themmeż		nhemeż			
h-r-ż	hereż	herreż		therreż		nhereż			
h-ż-ż		heżżeż,		theżżeż,					
h-ż-ż		heżheż		theżheż					
h-d-w	heda	hedda		thedda					
h-n-j		henna		thenna					
h-r-j		herra		therra					
h-w-j									sthewwa
h-ż-j		heżża							
ħ-b-b¹	ħabb	ħabbeb		tħabbeb		nħabb	ħtebb		
ħ-b-b²	ħebb,								
ħ-b-b²	hebb								
ħ-b-l¹		ħabbel		tħabbel,					
ħ-b-l¹				tħambel					
ħ-b-l²	ħebel,	ħebbel		*tħebbel					
ħ-b-l²	hebel								
ħ-b-l³	ħobol	ħabbel		tħabbel					
ħ-b-r¹	ħabar,	ħabbar		tħabbar					
ħ-b-r¹	ħeber								
ħ-b-r²	ħeber,								
ħ-b-r²	ħabar								
ħ-b-s	ħabes	*ħabbes		tħabbes		nħabes			
ħ-b-t	ħabat	ħabbat		tħabbat	tħabat		ħtabat		
ħ-b-ż¹	ħabeż	ħabbeż		tħabbeż		nħabeż			
ħ-b-ż²	ħebeż,	ħebbeż,		*tħabbeż					
ħ-b-ż²	hebeż	ħabbeż							
ħ-d-t		ħaddet,							
ħ-d-t		ħadded							
ħ-d-l	ħedel	ħeddel,		tħeddel,				ħdiel	
ħ-d-l		ħaddel		tħaddel					
ħ-d-m	ħadem	ħaddem		tħaddem		nħadem			
ħ-d-n		ħaddan		tħaddan					
ħ-d-r¹		ħaddar		tħaddar				ħdar	
ħ-d-r²	ħadar	ħaddar		tħaddar					
ħ-d-t		ħadded		tħaddet,					
ħ-d-t				tħadded					
ħ-f-f	ħaff,	ħaffef		tħaffef,				ħfief	
ħ-f-f	ħeff			tħeffef					
ħ-f-n	ħafen					nħafen			
ħ-f-r¹	ħafer					nħafer			
ħ-f-r²	ħafer	ħaffer		tħaffer					
ħ-ġ-b	ħaġeb	*ħaġġeb		*tħaġġeb		nħaġeb			
ħ-ġ-ġ¹	*ħaġġ							*ħġaġ	
ħ-ġ-ġ²		ħaġġeġ							
ħ-ġ-ġ³		ħeġġeġ,		tħeġġeġ,					
ħ-ġ-ġ³		ħaġġeġ		tħaġġeġ					
ħ-ġ-m	heġem,					nheġem			
ħ-ġ-m	ħeġem,								
ħ-ġ-m	ħaġem,								
ħ-ġ-m	haġem								
ħ-ġ-r		ħaġġar		tħaġġar					
ħ-k-k	ħakk	ħakkek,		tħakkek,		nħakk	ħtekk		
ħ-k-k		ħakwek		tħakwek					
ħ-k-m	ħakem	ħakkem				nħakem			
ħ-l-b	ħaleb	ħalleb		tħalleb		nħaleb			
ħ-l-f¹	ħalef	ħallef				nħalef			
ħ-l-f²		ħellef,		tħellef					
ħ-l-f²		ħallef							
ħ-l-ġ	ħaleġ	*ħalleġ				nħaleġ	ħtileġ		
ħ-l-l¹	ħall					nħall			
ħ-l-l²		ħallel		tħallel					
ħ-l-l³		ħallel		*tħallel					
ħ-l-l³	ħolom	ħallem		tħallem		nħolom			
ħ-l-q¹	ħalaq	ħallaq				nħalaq,			
ħ-l-q¹						nħoloq			
ħ-l-q²		ħallaq		tħallaq					
ħ-l-q³		*ħallaq			tħalaq				
ħ-l-s¹		ħallas		tħallas					
